transaction_id	donor_id	date	amount	campaign
109	875	2005-07-30	51	campaign 12
110	20	2005-07-17	119	campaign 9
111	40	2008-07-20	36	campaign 8
112	948	2007-05-16	23	campaign 9
113	1646	2008-03-17	37	campaign 4
114	454	2006-12-17	103	campaign 5
115	139	2006-01-08	101	campaign 1
116	1880	2006-06-09	72	campaign 9
117	515	2008-01-17	67	campaign 3
118	1687	2006-01-21	62	campaign 2
119	3	2007-10-23	96	campaign 9
120	1509	2005-05-09	98	campaign 8
121	1856	2006-05-11	78	campaign 9
122	1485	2008-05-27	59	campaign 12
123	1434	2008-07-13	98	campaign 11
124	1091	2008-08-23	73	campaign 2
125	1849	2005-03-03	40	campaign 4
126	1111	2006-05-22	53	campaign 1
127	1189	2006-09-20	37	campaign 3
128	188	2005-10-04	90	campaign 9
129	282	2007-01-21	44	campaign 12
130	1032	2006-06-24	56	campaign 1
131	1747	2005-11-03	116	campaign 6
132	1915	2007-09-07	68	campaign 5
133	1668	2006-11-15	35	campaign 9
134	123	2006-03-26	98	campaign 11
135	924	2005-02-16	31	campaign 8
136	974	2007-09-27	70	campaign 8
137	1572	2007-07-16	92	campaign 10
138	970	2007-09-08	69	campaign 3
139	507	2006-03-09	56	campaign 9
140	30	2006-08-20	85	campaign 3
141	518	2005-04-15	119	campaign 7
142	31	2005-01-10	113	campaign 2
143	596	2008-08-25	103	campaign 9
144	552	2008-06-18	112	campaign 8
145	957	2006-01-08	112	campaign 12
146	1987	2008-02-29	93	campaign 4
147	138	2008-02-06	21	campaign 9
148	299	2005-12-04	49	campaign 2
149	680	2005-08-15	46	campaign 4
150	768	2005-02-10	94	campaign 1
151	1888	2006-07-17	63	campaign 2
152	1839	2006-08-12	98	campaign 3
153	743	2008-09-05	39	campaign 8
154	396	2007-10-15	84	campaign 2
155	1700	2005-04-02	85	campaign 11
156	678	2008-09-17	47	campaign 1
157	165	2006-12-29	30	campaign 12
158	1906	2008-09-25	46	campaign 9
159	1185	2007-11-28	65	campaign 7
160	783	2005-08-30	87	campaign 10
161	1296	2006-12-24	93	campaign 5
162	10	2006-03-08	120	campaign 12
163	211	2005-11-05	23	campaign 9
164	71	2006-09-04	28	campaign 11
165	1491	2008-01-15	93	campaign 4
166	770	2007-10-26	31	campaign 1
167	1591	2008-06-04	90	campaign 2
168	434	2008-09-28	118	campaign 6
169	1030	2008-07-29	39	campaign 9
170	1976	2008-08-16	63	campaign 1
171	1061	2007-06-01	112	campaign 7
172	1529	2007-11-19	105	campaign 6
173	1878	2005-10-20	31	campaign 5
174	1042	2007-10-08	48	campaign 6
175	1303	2007-12-17	82	campaign 9
176	772	2008-10-04	91	campaign 11
177	755	2008-01-03	107	campaign 7
178	1372	2006-03-16	62	campaign 10
179	408	2006-05-13	100	campaign 3
180	1776	2005-07-27	107	campaign 7
181	962	2008-09-22	94	campaign 12
182	1299	2005-12-22	36	campaign 4
183	1589	2005-07-17	25	campaign 3
184	860	2005-11-13	77	campaign 4
185	1089	2007-07-03	109	campaign 7
186	1650	2006-09-08	61	campaign 9
187	1344	2005-08-12	81	campaign 12
188	842	2006-10-07	81	campaign 4
189	260	2005-02-11	106	campaign 5
190	1106	2005-10-11	104	campaign 9
191	1987	2007-11-07	96	campaign 1
192	1939	2008-06-14	49	campaign 6
193	1654	2005-09-01	26	campaign 8
194	1417	2005-02-13	56	campaign 1
195	1117	2006-03-04	22	campaign 1
196	442	2008-02-18	56	campaign 9
197	1722	2007-08-06	84	campaign 12
198	1331	2008-06-28	112	campaign 4
199	1263	2006-03-10	49	campaign 6
200	1692	2005-06-13	82	campaign 5
201	821	2008-03-26	92	campaign 12
202	1939	2006-04-19	48	campaign 6
203	243	2005-04-06	98	campaign 6
204	375	2006-05-11	94	campaign 3
205	1746	2007-08-29	91	campaign 5
206	112	2008-05-20	85	campaign 8
207	803	2008-02-05	41	campaign 9
208	1622	2005-03-04	33	campaign 6
209	1290	2008-05-12	75	campaign 6
210	455	2007-11-22	28	campaign 2
211	488	2007-02-08	21	campaign 5
212	265	2006-08-28	99	campaign 12
213	1921	2005-05-21	47	campaign 10
214	1943	2005-11-25	38	campaign 10
215	1598	2008-06-07	67	campaign 9
216	624	2007-12-17	65	campaign 3
217	1803	2008-01-20	45	campaign 6
218	166	2005-04-13	29	campaign 12
219	1268	2006-02-05	110	campaign 2
220	1265	2008-03-05	99	campaign 7
221	276	2006-06-12	59	campaign 8
222	1809	2008-10-19	105	campaign 1
223	1027	2005-10-28	64	campaign 6
224	1567	2006-08-03	32	campaign 5
225	172	2007-10-09	95	campaign 2
226	1194	2005-08-02	99	campaign 9
227	303	2008-09-18	65	campaign 7
228	204	2006-08-29	69	campaign 5
229	713	2005-08-24	111	campaign 3
230	955	2005-12-20	38	campaign 3
231	1468	2005-06-30	99	campaign 7
232	1617	2008-06-26	77	campaign 6
233	106	2008-07-26	21	campaign 1
234	753	2005-02-25	35	campaign 6
235	1145	2006-12-01	20	campaign 3
236	292	2007-03-09	90	campaign 10
237	1840	2006-04-22	24	campaign 3
238	1728	2007-02-24	65	campaign 8
239	1165	2005-02-26	35	campaign 12
240	1081	2007-06-16	76	campaign 7
241	1056	2006-11-05	81	campaign 4
242	1860	2005-08-02	81	campaign 7
243	1346	2007-04-17	110	campaign 9
244	1687	2005-03-26	107	campaign 3
245	1357	2007-01-28	74	campaign 3
246	843	2007-03-07	84	campaign 4
247	1507	2006-05-02	92	campaign 10
248	1726	2006-06-28	84	campaign 7
249	797	2007-10-12	81	campaign 3
250	1827	2008-02-09	85	campaign 5
251	158	2007-03-21	57	campaign 2
252	1967	2007-08-19	50	campaign 4
253	363	2005-11-10	66	campaign 11
254	347	2008-05-29	86	campaign 9
255	1598	2006-05-20	50	campaign 10
256	962	2005-11-26	76	campaign 9
257	261	2007-08-03	96	campaign 10
258	456	2008-04-29	71	campaign 11
259	1960	2006-01-06	52	campaign 11
260	1147	2007-02-24	92	campaign 9
261	974	2007-07-16	22	campaign 5
262	679	2008-01-03	49	campaign 7
263	440	2006-08-17	82	campaign 8
264	821	2008-10-30	29	campaign 1
265	1700	2008-07-01	76	campaign 4
266	1063	2007-01-14	72	campaign 2
267	1144	2005-08-19	113	campaign 8
268	1679	2006-10-02	59	campaign 12
269	352	2005-01-26	78	campaign 1
270	884	2005-01-13	42	campaign 1
271	1597	2008-01-02	62	campaign 11
272	438	2007-03-29	76	campaign 7
273	1059	2007-07-12	75	campaign 4
274	273	2008-06-25	61	campaign 5
275	1499	2006-11-17	61	campaign 5
276	1049	2005-06-15	23	campaign 1
277	1238	2008-04-29	49	campaign 7
278	1793	2006-02-20	47	campaign 1
279	1695	2005-10-06	81	campaign 10
280	739	2005-12-18	63	campaign 3
281	1061	2007-12-14	116	campaign 3
282	952	2008-02-26	119	campaign 2
283	842	2006-12-21	55	campaign 1
284	1577	2005-06-02	68	campaign 6
285	1905	2008-07-12	22	campaign 5
286	655	2007-07-20	56	campaign 2
287	95	2007-03-01	115	campaign 7
288	461	2006-06-04	34	campaign 7
289	1782	2008-05-08	107	campaign 9
290	251	2008-07-26	109	campaign 5
291	186	2008-07-18	54	campaign 8
292	1860	2005-09-25	62	campaign 9
293	857	2008-09-02	71	campaign 2
294	1590	2008-05-20	21	campaign 7
295	1808	2006-10-24	107	campaign 12
296	859	2005-09-23	25	campaign 8
297	1609	2006-03-17	29	campaign 8
298	1705	2007-06-25	101	campaign 3
299	1644	2007-05-14	31	campaign 2
300	283	2007-08-03	101	campaign 1
301	1576	2005-08-08	119	campaign 8
302	1522	2005-09-16	21	campaign 10
303	713	2008-01-11	97	campaign 8
304	1931	2008-05-27	88	campaign 4
305	1013	2005-10-09	99	campaign 10
306	1905	2005-01-07	102	campaign 12
307	187	2005-08-21	50	campaign 2
308	1323	2008-03-30	58	campaign 4
309	478	2008-01-29	58	campaign 2
310	351	2006-09-11	57	campaign 10
311	1359	2005-05-05	60	campaign 2
312	858	2006-04-05	55	campaign 7
313	9	2006-04-08	87	campaign 7
314	1285	2005-04-08	42	campaign 1
315	638	2007-05-09	106	campaign 6
316	593	2008-03-21	61	campaign 1
317	37	2008-07-31	116	campaign 7
318	1126	2007-03-03	104	campaign 11
319	80	2008-02-09	39	campaign 11
320	985	2008-09-22	89	campaign 9
321	1174	2005-08-21	53	campaign 8
322	1490	2007-04-04	44	campaign 8
323	1224	2005-12-27	110	campaign 8
324	1303	2008-08-07	106	campaign 5
325	1928	2007-05-20	87	campaign 3
326	228	2006-05-10	78	campaign 10
327	687	2005-12-28	41	campaign 7
328	869	2007-02-23	76	campaign 1
329	685	2007-01-23	29	campaign 2
330	924	2008-03-12	53	campaign 11
331	893	2005-01-13	64	campaign 4
332	1795	2006-10-16	91	campaign 8
333	1181	2008-03-16	30	campaign 3
334	1546	2006-10-30	91	campaign 6
335	1984	2008-10-30	34	campaign 12
336	876	2008-07-12	66	campaign 4
337	894	2008-10-07	106	campaign 12
338	165	2008-03-23	44	campaign 5
339	259	2007-05-08	112	campaign 2
340	45	2007-09-23	35	campaign 9
341	979	2007-02-05	101	campaign 8
342	1358	2007-11-15	34	campaign 8
343	432	2005-08-03	49	campaign 10
344	1955	2005-04-17	29	campaign 11
345	653	2006-10-23	29	campaign 2
346	813	2005-07-23	35	campaign 11
347	956	2006-05-12	65	campaign 5
348	313	2005-04-17	58	campaign 3
349	184	2007-06-10	81	campaign 1
350	970	2006-03-16	83	campaign 4
351	1834	2007-09-26	102	campaign 3
352	75	2008-03-25	86	campaign 11
353	881	2007-05-05	86	campaign 4
354	910	2005-06-19	50	campaign 11
355	434	2008-04-16	64	campaign 11
356	1028	2008-07-27	62	campaign 9
357	919	2005-06-25	95	campaign 2
358	318	2008-03-20	98	campaign 9
359	1577	2007-01-27	83	campaign 4
360	1353	2005-08-20	62	campaign 9
361	1011	2006-09-04	40	campaign 9
362	1383	2005-06-15	34	campaign 8
363	544	2008-04-24	39	campaign 7
364	182	2005-04-24	88	campaign 6
365	766	2007-01-03	44	campaign 5
366	195	2008-10-11	100	campaign 7
367	1319	2006-01-03	79	campaign 7
368	1788	2008-03-12	75	campaign 11
369	2	2008-05-29	91	campaign 12
370	49	2006-07-20	36	campaign 10
371	1060	2005-09-24	56	campaign 9
372	1765	2007-02-28	77	campaign 4
373	1452	2007-06-09	51	campaign 12
374	86	2008-01-23	30	campaign 3
375	501	2007-06-15	25	campaign 2
376	1152	2007-02-26	37	campaign 12
377	154	2007-10-14	73	campaign 12
378	1754	2007-10-27	85	campaign 7
379	1369	2006-05-01	49	campaign 3
380	418	2007-08-01	47	campaign 7
381	199	2007-04-20	54	campaign 4
382	992	2006-10-31	94	campaign 4
383	1551	2005-06-17	40	campaign 10
384	1083	2007-04-12	114	campaign 4
385	834	2005-08-08	83	campaign 7
386	1211	2008-02-03	89	campaign 1
387	1387	2006-03-30	92	campaign 9
388	844	2007-02-26	54	campaign 10
389	1088	2007-09-26	79	campaign 11
390	666	2005-07-08	104	campaign 6
391	1208	2005-06-07	112	campaign 5
392	1969	2008-08-22	95	campaign 1
393	1475	2007-07-07	74	campaign 12
394	1693	2008-09-15	58	campaign 8
395	1523	2008-02-16	41	campaign 6
396	298	2005-09-02	40	campaign 2
397	1014	2005-07-07	32	campaign 10
398	33	2007-04-06	116	campaign 4
399	1520	2007-07-01	31	campaign 11
400	1813	2008-09-18	74	campaign 3
401	1223	2006-09-09	90	campaign 1
402	433	2005-09-16	101	campaign 6
403	1783	2008-02-01	23	campaign 4
404	1091	2007-05-01	56	campaign 7
405	950	2005-08-15	72	campaign 7
406	1300	2008-01-27	43	campaign 3
407	1701	2007-12-22	92	campaign 5
408	468	2008-01-22	86	campaign 1
409	997	2007-09-04	36	campaign 1
410	20	2008-08-29	61	campaign 12
411	1222	2008-04-20	41	campaign 2
412	1578	2007-09-26	88	campaign 7
413	818	2007-08-09	44	campaign 1
414	29	2006-09-02	83	campaign 2
415	472	2006-04-03	62	campaign 8
416	781	2005-01-18	31	campaign 6
417	1671	2007-11-13	41	campaign 12
418	1526	2005-04-23	110	campaign 9
419	377	2005-05-02	109	campaign 2
420	298	2008-08-30	83	campaign 11
421	1656	2006-02-02	87	campaign 6
422	1360	2006-08-30	26	campaign 6
423	1410	2005-09-24	70	campaign 5
424	800	2006-08-20	72	campaign 4
425	254	2007-11-25	28	campaign 5
426	505	2005-10-02	81	campaign 11
427	288	2007-04-08	40	campaign 2
428	442	2007-04-11	115	campaign 7
429	1471	2007-07-21	83	campaign 7
430	1280	2005-12-16	107	campaign 9
431	1406	2008-09-02	23	campaign 7
432	1043	2005-01-16	108	campaign 7
433	1591	2008-04-20	24	campaign 2
434	1529	2007-10-17	108	campaign 5
435	829	2008-03-21	81	campaign 8
436	1397	2005-10-19	26	campaign 7
437	334	2007-10-08	90	campaign 1
438	1476	2008-08-02	94	campaign 2
439	1132	2007-08-17	118	campaign 3
440	1400	2007-05-20	91	campaign 7
441	975	2006-06-21	95	campaign 5
442	338	2005-10-16	117	campaign 2
443	78	2006-02-02	118	campaign 4
444	1973	2006-03-19	118	campaign 10
445	1644	2006-09-22	31	campaign 8
446	1071	2007-01-01	99	campaign 8
447	568	2007-02-10	96	campaign 11
448	380	2005-06-14	36	campaign 9
449	1427	2006-01-08	21	campaign 6
450	797	2008-03-23	112	campaign 2
451	1202	2006-03-24	91	campaign 9
452	262	2005-04-01	30	campaign 5
453	1990	2005-10-27	82	campaign 12
454	759	2005-03-17	67	campaign 7
455	33	2005-11-01	38	campaign 12
456	93	2005-05-15	71	campaign 11
457	79	2005-11-19	36	campaign 5
458	658	2008-02-16	83	campaign 7
459	998	2008-04-27	46	campaign 5
460	506	2008-05-31	82	campaign 10
461	1969	2008-07-17	24	campaign 6
462	1978	2006-11-21	22	campaign 6
463	1405	2005-07-29	71	campaign 4
464	803	2005-01-21	86	campaign 2
465	592	2008-09-05	68	campaign 2
466	1265	2005-09-17	67	campaign 4
467	584	2007-12-19	91	campaign 4
468	247	2006-12-07	21	campaign 11
469	1488	2008-08-23	53	campaign 7
470	120	2007-02-06	59	campaign 11
471	493	2007-05-22	28	campaign 7
472	1557	2008-05-10	50	campaign 7
473	386	2006-03-03	52	campaign 6
474	587	2005-07-21	28	campaign 6
475	501	2006-09-17	45	campaign 12
476	43	2006-04-18	33	campaign 6
477	382	2007-11-02	48	campaign 4
478	611	2005-04-20	31	campaign 5
479	285	2005-10-21	102	campaign 10
480	593	2005-01-23	47	campaign 7
481	87	2005-11-19	22	campaign 11
482	195	2006-02-24	85	campaign 9
483	593	2005-06-13	103	campaign 9
484	1921	2006-01-11	71	campaign 6
485	155	2008-09-22	66	campaign 12
486	1584	2007-02-10	32	campaign 6
487	305	2007-09-15	43	campaign 3
488	86	2005-10-16	36	campaign 6
489	1672	2007-01-07	79	campaign 11
490	1438	2008-01-25	32	campaign 3
491	1965	2005-12-19	69	campaign 7
492	996	2007-08-20	73	campaign 5
493	1485	2005-03-28	88	campaign 6
494	92	2005-02-11	75	campaign 8
495	395	2008-01-16	117	campaign 1
496	1493	2006-11-23	118	campaign 4
497	1132	2007-05-03	63	campaign 3
498	723	2007-11-22	103	campaign 12
499	1721	2007-06-11	82	campaign 5
500	1707	2008-03-04	90	campaign 5
501	1090	2007-04-20	85	campaign 3
502	15	2007-03-07	28	campaign 12
503	1170	2008-02-08	62	campaign 3
504	1410	2006-11-27	120	campaign 5
505	250	2007-01-22	78	campaign 7
506	727	2005-07-28	118	campaign 11
507	545	2007-01-15	44	campaign 10
508	477	2006-11-19	99	campaign 9
509	1920	2005-11-14	109	campaign 5
510	1670	2006-08-17	64	campaign 3
511	1082	2005-04-22	75	campaign 11
512	1389	2005-01-18	114	campaign 2
513	1032	2008-05-30	36	campaign 4
514	1634	2006-07-19	72	campaign 2
515	1789	2006-04-27	65	campaign 1
516	1719	2006-02-22	84	campaign 8
517	1312	2008-07-20	104	campaign 9
518	1379	2007-04-27	101	campaign 10
519	1044	2005-11-10	93	campaign 6
520	1634	2005-03-09	81	campaign 1
521	1270	2007-09-24	100	campaign 12
522	489	2008-05-21	104	campaign 1
523	986	2008-10-16	81	campaign 7
524	1858	2005-03-12	107	campaign 11
525	101	2006-04-05	86	campaign 11
526	174	2005-01-24	25	campaign 9
527	929	2006-03-17	63	campaign 12
528	272	2007-08-01	54	campaign 2
529	1573	2008-01-14	105	campaign 7
530	681	2006-01-21	43	campaign 4
531	1950	2005-05-01	92	campaign 11
532	1864	2006-06-28	46	campaign 3
533	607	2005-02-16	65	campaign 7
534	310	2006-09-15	115	campaign 10
535	112	2006-11-26	52	campaign 9
536	1041	2006-09-03	24	campaign 7
537	1610	2006-10-07	95	campaign 12
538	961	2008-03-22	84	campaign 5
539	1751	2006-03-01	117	campaign 2
540	1360	2005-07-03	94	campaign 7
541	1756	2007-02-10	58	campaign 1
542	1474	2006-12-07	33	campaign 9
543	603	2005-01-22	92	campaign 9
544	1460	2007-08-04	23	campaign 9
545	1101	2005-10-10	113	campaign 7
546	368	2006-12-30	40	campaign 7
547	496	2007-08-08	105	campaign 10
548	1568	2007-03-14	63	campaign 1
549	1429	2008-01-12	102	campaign 4
550	610	2005-05-30	30	campaign 1
551	424	2007-01-23	47	campaign 10
552	1631	2005-02-03	70	campaign 6
553	1463	2006-05-15	79	campaign 6
554	1739	2007-02-09	37	campaign 12
555	935	2005-07-12	104	campaign 4
556	1748	2008-09-29	87	campaign 5
557	435	2007-03-11	110	campaign 9
558	1590	2008-10-02	109	campaign 5
559	604	2005-03-17	53	campaign 8
560	637	2005-11-27	28	campaign 9
561	1921	2007-09-20	97	campaign 2
562	156	2008-08-10	73	campaign 9
563	1975	2007-04-09	27	campaign 3
564	27	2005-10-17	115	campaign 1
565	1859	2005-01-30	53	campaign 4
566	998	2006-11-16	24	campaign 12
567	66	2007-02-25	56	campaign 5
568	650	2008-03-26	86	campaign 12
569	1248	2005-07-21	40	campaign 2
570	371	2007-06-18	109	campaign 5
571	919	2006-05-08	84	campaign 4
572	1948	2008-05-26	71	campaign 2
573	1361	2007-07-30	65	campaign 4
574	41	2006-02-01	32	campaign 8
575	1617	2006-01-16	80	campaign 11
576	1180	2006-06-03	26	campaign 8
577	660	2008-03-21	26	campaign 8
578	1415	2006-07-01	27	campaign 8
579	460	2006-04-26	45	campaign 1
580	48	2006-04-26	95	campaign 7
581	95	2006-12-22	94	campaign 11
582	819	2005-11-29	72	campaign 7
583	340	2008-03-21	39	campaign 9
584	584	2006-10-15	21	campaign 6
585	1142	2006-11-01	101	campaign 2
586	1808	2007-05-05	118	campaign 11
587	1711	2005-09-30	65	campaign 6
588	1633	2008-08-05	110	campaign 2
589	980	2005-08-01	92	campaign 10
590	89	2006-08-13	49	campaign 9
591	1452	2007-05-15	67	campaign 9
592	264	2005-07-17	49	campaign 3
593	1535	2006-12-15	69	campaign 7
594	706	2005-06-08	51	campaign 6
595	930	2005-11-12	79	campaign 4
596	1343	2005-01-06	109	campaign 6
597	680	2006-08-08	51	campaign 5
598	163	2008-07-10	23	campaign 2
599	922	2007-09-16	35	campaign 8
600	1694	2008-07-30	33	campaign 4
601	1426	2005-10-18	53	campaign 12
602	1049	2007-04-15	45	campaign 2
603	30	2007-12-15	87	campaign 1
604	790	2005-11-28	107	campaign 8
605	1449	2005-03-09	27	campaign 6
606	468	2005-07-24	78	campaign 10
607	1045	2007-11-21	119	campaign 8
608	40	2007-12-16	52	campaign 11
609	1447	2006-05-09	43	campaign 2
610	535	2008-10-09	20	campaign 12
611	1415	2005-04-02	45	campaign 1
612	1488	2006-01-18	101	campaign 2
613	522	2005-11-30	70	campaign 8
614	1647	2007-09-01	38	campaign 7
615	1832	2005-08-17	51	campaign 7
616	714	2008-03-13	75	campaign 4
617	180	2005-01-17	117	campaign 6
618	1931	2006-03-03	86	campaign 7
619	1048	2008-01-22	28	campaign 6
620	1087	2006-01-25	29	campaign 7
621	928	2007-04-01	83	campaign 8
622	285	2007-04-15	81	campaign 9
623	433	2005-03-31	54	campaign 2
624	400	2005-01-23	35	campaign 6
625	1024	2007-11-11	65	campaign 2
626	1725	2008-06-22	35	campaign 12
627	1217	2007-07-04	85	campaign 11
628	1163	2006-12-04	57	campaign 4
629	1023	2008-02-25	71	campaign 8
630	6	2006-12-17	88	campaign 1
631	11	2008-05-14	31	campaign 9
632	1335	2008-07-20	49	campaign 3
633	49	2005-11-04	64	campaign 2
634	408	2006-05-20	22	campaign 6
635	111	2006-12-29	108	campaign 2
636	1149	2008-10-11	34	campaign 6
637	92	2008-06-22	113	campaign 5
638	702	2008-02-26	37	campaign 5
639	614	2007-08-28	28	campaign 10
640	548	2006-11-30	93	campaign 12
641	614	2005-02-05	21	campaign 9
642	1794	2006-02-08	106	campaign 11
643	594	2006-11-16	102	campaign 12
644	1116	2006-09-09	57	campaign 10
645	1456	2008-08-28	22	campaign 5
646	1979	2005-01-28	77	campaign 1
647	831	2007-01-28	38	campaign 6
648	386	2006-01-01	65	campaign 12
649	706	2007-11-19	81	campaign 6
650	50	2007-03-18	88	campaign 11
651	405	2008-02-17	36	campaign 7
652	985	2008-05-18	44	campaign 5
653	1977	2006-10-24	115	campaign 1
654	1502	2007-07-30	32	campaign 6
655	493	2006-01-14	58	campaign 8
656	1098	2005-03-04	81	campaign 4
657	1865	2007-01-01	119	campaign 4
658	1238	2007-07-18	45	campaign 1
659	1770	2005-10-09	28	campaign 9
660	1109	2006-02-02	54	campaign 8
661	386	2008-10-30	100	campaign 7
662	376	2006-11-09	67	campaign 5
663	790	2006-05-16	84	campaign 12
664	810	2005-04-11	119	campaign 1
665	11	2005-10-05	37	campaign 2
666	369	2005-06-07	72	campaign 4
667	1001	2006-04-20	53	campaign 10
668	642	2007-11-20	22	campaign 10
669	1786	2005-08-31	118	campaign 12
670	1560	2006-10-16	106	campaign 6
671	1547	2005-07-29	65	campaign 4
672	51	2005-03-17	103	campaign 6
673	1125	2006-02-22	74	campaign 2
674	111	2005-06-26	41	campaign 11
675	1958	2006-08-15	29	campaign 12
676	1092	2006-06-18	96	campaign 12
677	925	2007-07-08	37	campaign 9
678	1588	2007-04-19	91	campaign 2
679	150	2007-09-04	100	campaign 8
680	346	2007-12-01	29	campaign 12
681	1517	2005-06-03	92	campaign 12
682	1978	2005-12-08	26	campaign 3
683	311	2007-12-20	51	campaign 5
684	198	2007-08-24	49	campaign 12
685	1810	2008-05-10	103	campaign 8
686	1478	2005-03-01	57	campaign 5
687	1459	2005-07-16	51	campaign 1
688	684	2007-01-10	55	campaign 3
689	1047	2008-04-20	62	campaign 2
690	1639	2006-04-17	32	campaign 11
691	353	2005-03-12	96	campaign 7
692	1370	2006-09-13	86	campaign 7
693	695	2008-03-01	112	campaign 2
694	268	2005-04-11	117	campaign 2
695	1867	2006-12-16	47	campaign 11
696	347	2006-10-25	77	campaign 6
697	1326	2005-09-16	78	campaign 1
698	1272	2007-03-13	86	campaign 12
699	476	2006-02-04	28	campaign 9
700	677	2007-10-31	28	campaign 7
701	1312	2007-01-17	106	campaign 9
702	1908	2005-04-19	28	campaign 7
703	851	2006-06-07	49	campaign 7
704	1414	2006-05-01	66	campaign 7
705	715	2008-09-09	44	campaign 6
706	138	2007-11-22	37	campaign 2
707	1439	2007-07-14	111	campaign 1
708	1540	2005-07-17	116	campaign 6
709	1893	2006-03-22	56	campaign 11
710	904	2007-06-13	108	campaign 9
711	1531	2007-11-05	60	campaign 8
712	1177	2007-08-19	56	campaign 10
713	734	2007-04-03	97	campaign 3
714	1123	2006-10-30	43	campaign 1
715	188	2006-08-26	30	campaign 7
